Sir Padampat Singhania Univ..,+(91)-9887712216,4.8,38,"Sir Padampat Singhania University Bhatewar Udaipur, Udaipur City, Udaipur-rajasthan - 313001 (Also serves RAIPUR-CHHATTISGARH)",
Institute Of Aeronautics An..,+(91)-9152820872,4.2,15,"NH-12, Parwaliya Sadak, Bhopal - 462030, Near Parwaliya Thana (Also serves RAIPUR-CHHATTISGARH)",
Swami Keshwanand Shikshan S..,+(91)-9672989569,4.1,92,"NH 52 Bhadhadar Sikar, Rashidpura, Sikar - 332315, Bhadhadhar (Also serves RAIPUR-CHHATTISGARH)",
B K Institute,+(91)-7060000266,3.6,28,"Neemgaon Road, Raya, Mathura - 281204 (Also serves RAIPUR-CHHATTISGARH)",
Ajeenkya D Y Patil Universi..,+(91)-9152302102,4.1,248,"Ajeenkya D Y Patil Knowledge City, Charholi Budruk, Pune - 412105, Lohegaon (Also serves RAIPUR-CHHATTISGARH)",
Shekhawati College Of Pharm..,+(91)-9152326515,4.3,66,"B Block, Sikar Jhunjhunu Highway, Dundlod, Jhunjhunu - 333702, Near Dundlod Railway Crossing, Sainipura (Also serves RAIPUR-CHHATTISGARH)",
Sikkim Manipal Institute Of..,+(91)-9152464720,4.1,218,"SMIT, Majitar, Rangpo, Majitar, Rangpo - 737136, Near Rangpo (Also serves RAIPUR-CHHATTISGARH)",
Sha Shib Aerospace Engineer..,+(91)-9630020025,4.1,92,"F-31,Vivek Colony, Guna - 473001, Opposite Guna Airport (Also serves RAIPUR-CHHATTISGARH)",
Srk University,+(91)-7024144981,4.3,131,"NH 12, Hoshangabad Road, Misrod, Bhopal - 462026, Near Nissan Motors (Also serves RAIPUR-CHHATTISGARH)",
Mechanical Projects Solutio..,+(91)-9152332426,4.4,18,"Opposite.Civil Hospital, Near Yes Bank, Ambala Cantt, Ambala - 133001, Near Sd College (Also serves RAIPUR-CHHATTISGARH)",
Doon Group Of Institution,+(91)-9152660457,3.5,2,"9th Milestone, Rishikesh Haridwar Highway, Shyampur, Dehradun - 248007, Near Shyampur Railway Crossing (Also serves RAIPUR-CHHATTISGARH)",
O P Jindal University,+(91)-07767-304000,3.8,114,"Knowledge Park, Gharghoda Road,India Chhattisgarh, Punjipathra, Raigarh-Chhattisgarh - 496109 (Also serves RAIPUR-CHHATTISGARH)",
Geeta Engineering College,+(91)-9996622208,4.3,214,"Nh-71A, Gohana Road, Naultha, Panipat - 132145, Near At Hp Petrol Pump (Also serves RAIPUR-CHHATTISGARH)",
